category,size,sample,compile_time_sec,max_rss_kb,exit_code
defective,18,7,7.23,839496,1
defective,18,8,7.27,839604,1
defective,18,9,7.19,839260,1
defective,20,0,7.46,834384,1
defective,20,1,7.22,834244,1
defective,20,2,7.26,834236,1
defective,20,3,7.14,834340,1
defective,20,4,7.11,834080,1
defective,20,5,7.25,834364,1
defective,20,6,7.10,834380,1
defective,20,7,7.10,834356,1
defective,20,8,7.17,834080,1
defective,20,9,7.06,834336,1
defective,2,0,0.04,35892,0
defective,2,1,0.05,36136,0
defective,2,2,0.05,35972,0
defective,2,3,0.05,36048,0
defective,2,4,0.05,36184,0
defective,2,5,0.04,35908,0
defective,2,6,0.05,35880,0
defective,2,7,0.05,36124,0
defective,2,8,0.05,35980,0
defective,2,9,0.04,36172,0
defective,4,0,0.09,41676,0
defective,4,1,0.11,44236,0
defective,4,2,0.09,42032,0
defective,4,3,0.09,41904,0
defective,4,4,0.09,42128,0
defective,4,5,0.09,41904,0
defective,4,6,0.12,45324,0
defective,4,7,0.09,41432,0
defective,4,8,0.10,42188,0
defective,4,9,0.09,41936,0
defective,6,0,0.17,51272,0
defective,6,1,0.19,54376,0
defective,6,2,0.15,48040,0
defective,6,3,0.18,51372,0
defective,6,4,0.15,48816,0
defective,6,5,0.16,48612,0
defective,6,6,0.15,48656,0
defective,6,7,0.20,54616,0
defective,6,8,0.20,53580,0
defective,6,9,0.15,48100,0
defective,8,0,0.28,64560,0
defective,8,1,0.32,68420,0
defective,8,2,0.33,70504,0
defective,8,3,0.35,71504,0
defective,8,4,0.36,73628,0
defective,8,5,0.27,63128,0
defective,8,6,0.32,68688,0
defective,8,7,0.30,65352,0
defective,8,8,0.36,73284,0
defective,8,9,0.27,62224,0
graded,10,0,0.50,90776,0
graded,10,1,0.50,90508,0
graded,10,2,0.49,89936,0
graded,10,3,0.52,91212,0
graded,10,4,0.50,90580,0
graded,10,5,0.52,92392,0
graded,10,6,0.51,91884,0
graded,10,7,0.50,90696,0
graded,10,8,0.51,90924,0
graded,10,9,0.51,91044,0
graded,12,0,0.98,147016,0
graded,12,1,0.98,145612,0
graded,12,2,0.99,147416,0
graded,12,3,0.98,145692,0
graded,12,4,0.98,148176,0
graded,12,5,0.98,146788,0
graded,12,6,0.97,146116,0
graded,12,7,0.98,147152,0
graded,12,8,0.97,146768,0
graded,12,9,0.97,145448,0
graded,14,0,1.78,241164,0
graded,14,1,1.77,236852,0
graded,14,2,1.74,235404,0
graded,14,3,1.74,236640,0
graded,14,4,1.76,236584,0
graded,14,5,1.73,235600,0
graded,14,6,1.76,238152,0
graded,14,7,1.73,234596,0
graded,14,8,1.78,239140,0
graded,14,9,1.78,237272,0
graded,16,0,6.98,840128,1
graded,16,1,7.14,839840,1
graded,16,2,7.02,840260,1
graded,16,3,7.14,840260,1
graded,16,4,7.03,840228,1
graded,16,5,7.00,840096,1
graded,16,6,6.97,840136,1
graded,16,7,6.99,839940,1
graded,16,8,7.00,840136,1
graded,16,9,7.01,840004,1
graded,18,0,7.31,839316,1
graded,18,1,7.15,839148,1
graded,18,2,7.07,839044,1
graded,18,3,7.24,839200,1
graded,18,4,7.12,838880,1
graded,18,5,7.34,839004,1
graded,18,6,7.10,839200,1
graded,18,7,7.17,839200,1
graded,18,8,7.42,838752,1
graded,18,9,7.26,839116,1
graded,20,0,7.03,833740,1
graded,20,1,7.09,833796,1
graded,20,2,7.14,833928,1
graded,20,3,7.18,833800,1
graded,20,4,7.30,833868,1
graded,20,5,7.11,833864,1
graded,20,6,7.25,833852,1
graded,20,7,7.51,833740,1
graded,20,8,7.21,833708,1
graded,20,9,7.44,833968,1
graded,2,0,0.09,35800,0
graded,2,1,0.04,35920,0
graded,2,2,0.08,35804,0
graded,2,3,0.06,35780,0
graded,2,4,0.04,35892,0
graded,2,5,0.04,35924,0
graded,2,6,0.04,35904,0
graded,2,7,0.05,35928,0
graded,2,8,0.07,35880,0
graded,2,9,0.08,35920,0
graded,4,0,0.07,39088,0
graded,4,1,0.14,38840,0
graded,4,2,0.07,39380,0
graded,4,3,0.07,38428,0
graded,4,4,0.06,39308,0
graded,4,5,0.07,38872,0
graded,4,6,0.07,38808,0
graded,4,7,0.07,39124,0
graded,4,8,0.08,39512,0
graded,4,9,0.07,39108,0
graded,6,0,0.14,45992,0
graded,6,1,0.13,45544,0
graded,6,2,0.14,45776,0
graded,6,3,0.13,45232,0
graded,6,4,0.14,45872,0
graded,6,5,0.12,45328,0
graded,6,6,0.12,45364,0
graded,6,7,0.12,45648,0
graded,6,8,0.13,45520,0
graded,6,9,0.13,46032,0
graded,8,0,0.25,60624,0
graded,8,1,0.26,60812,0
