# family: gcc
# compiler: c++ (Alpine 15.2.0) 15.2.0
# os: Alpine Linux
category,size,sample,compile_time_sec,max_rss_kb,exit_code
defective,8,9,0.17,51604,0
graded,10,0,0.30,67148,0
graded,10,1,0.31,67024,0
graded,10,2,0.29,66792,0
graded,10,3,0.31,67376,0
graded,10,4,0.30,67024,0
graded,10,5,0.32,68184,0
graded,10,6,0.30,67740,0
graded,10,7,0.31,66960,0
graded,10,8,0.29,67252,0
graded,10,9,0.30,67416,0
graded,12,0,0.55,97932,0
graded,12,1,0.54,96948,0
graded,12,2,0.56,97696,0
graded,12,3,0.55,96920,0
graded,12,4,0.56,98572,0
graded,12,5,0.55,97872,0
graded,12,6,0.55,97328,0
graded,12,7,0.56,98000,0
graded,12,8,0.56,97704,0
graded,12,9,0.55,96868,0
graded,14,0,0.98,149100,0
graded,14,1,1.05,146388,0
graded,14,2,0.96,145732,0
graded,14,3,0.96,146300,0
graded,14,4,0.96,146256,0
graded,14,5,0.96,145748,0
graded,14,6,0.97,147408,0
graded,14,7,0.96,145108,0
graded,14,8,0.98,147880,0
graded,14,9,0.97,146704,0
graded,16,0,1.58,219916,0
graded,16,1,1.60,222376,0
graded,16,2,1.58,220144,0
graded,16,3,1.59,220268,0
graded,16,4,1.61,223248,0
graded,16,5,1.59,219808,0
graded,16,6,1.58,220592,0
graded,16,7,1.61,222220,0
graded,16,8,1.58,222808,0
graded,16,9,1.62,227356,0
graded,18,0,2.54,328664,0
graded,18,1,2.50,329532,0
graded,18,2,2.49,328476,0
graded,18,3,2.51,329960,0
graded,18,4,2.50,329868,0
graded,18,5,2.49,328272,0
graded,18,6,2.53,332088,0
graded,18,7,2.54,329896,0
graded,18,8,2.48,329896,0
graded,18,9,2.50,329944,0
graded,20,0,3.78,481820,0
graded,20,1,3.79,480720,0
graded,20,2,3.91,483984,0
graded,20,3,3.81,481512,0
graded,20,4,3.79,482320,0
graded,20,5,3.78,481168,0
graded,20,6,3.83,484876,0
graded,20,7,3.74,480188,0
graded,20,8,3.80,483712,0
graded,20,9,3.74,480900,0
graded,2,0,0.04,35908,0
graded,2,1,0.04,35880,0
graded,2,2,0.05,35920,0
graded,2,3,0.04,35852,0
graded,2,4,0.04,35980,0
graded,2,5,0.05,35852,0
graded,2,6,0.05,35724,0
graded,2,7,0.04,35772,0
graded,2,8,0.04,35892,0
graded,2,9,0.04,35888,0
graded,4,0,0.06,38196,0
graded,4,1,0.07,37864,0
graded,4,2,0.06,38192,0
graded,4,3,0.06,37556,0
graded,4,4,0.06,38160,0
graded,4,5,0.06,37936,0
graded,4,6,0.06,37928,0
graded,4,7,0.07,38196,0
graded,4,8,0.06,38476,0
graded,4,9,0.06,37976,0
graded,6,0,0.09,42316,0
graded,6,1,0.09,41832,0
graded,6,2,0.10,42004,0
graded,6,3,0.09,41688,0
graded,6,4,0.10,42324,0
graded,6,5,0.09,41756,0
graded,6,6,0.09,41768,0
graded,6,7,0.10,42064,0
graded,6,8,0.09,41920,0
graded,6,9,0.09,42316,0
graded,8,0,0.16,50508,0
graded,8,1,0.16,50612,0
graded,8,2,0.17,50844,0
graded,8,3,0.17,50968,0
graded,8,4,0.17,50868,0
graded,8,5,0.17,50884,0
graded,8,6,0.16,50376,0
graded,8,7,0.16,50716,0
graded,8,8,0.17,50960,0
graded,8,9,0.16,50256,0
hamiltonian,10,0,0.30,67916,0
hamiltonian,10,1,0.33,69044,0
hamiltonian,10,2,0.31,68184,0
hamiltonian,10,3,0.31,68060,0
hamiltonian,10,4,0.31,68624,0
hamiltonian,10,5,0.32,68296,0
hamiltonian,10,6,0.30,67684,0
hamiltonian,10,7,0.32,68876,0
hamiltonian,10,8,0.33,70680,0
hamiltonian,10,9,0.31,67856,0
hamiltonian,12,0,0.57,99152,0
hamiltonian,12,1,0.57,98740,0
hamiltonian,12,2,0.56,99180,0
hamiltonian,12,3,0.55,97464,0
hamiltonian,12,4,0.57,98192,0
hamiltonian,12,5,0.58,100648,0
hamiltonian,12,6,0.56,99160,0
hamiltonian,12,7,0.59,102608,0
hamiltonian,12,8,0.58,99596,0
hamiltonian,12,9,0.57,99140,0
hamiltonian,14,0,1.04,154120,0
hamiltonian,14,1,1.03,150940,0
hamiltonian,14,2,0.97,148176,0
hamiltonian,14,3,0.97,147984,0
hamiltonian,14,4,0.98,148680,0
hamiltonian,14,5,0.97,147240,0
hamiltonian,14,6,0.98,147888,0
hamiltonian,14,7,1.00,148112,0
hamiltonian,14,8,1.00,150824,0
hamiltonian,14,9,1.03,154512,0
hamiltonian,16,0,1.58,222296,0
hamiltonian,16,1,1.60,223312,0
hamiltonian,16,2,1.59,223280,0
hamiltonian,16,3,1.68,230224,0
hamiltonian,16,4,1.60,222620,0
hamiltonian,16,5,1.62,224964,0
hamiltonian,16,6,1.70,223028,0
hamiltonian,16,7,1.60,224316,0
hamiltonian,16,8,1.61,222332,0
hamiltonian,16,9,1.63,224724,0
hamiltonian,18,0,2.55,335884,0
hamiltonian,18,1,2.56,333240,0
hamiltonian,18,2,2.54,334020,0
hamiltonian,18,3,2.51,330880,0
hamiltonian,18,4,2.60,344112,0
hamiltonian,18,5,2.52,331060,0
hamiltonian,18,6,2.51,330632,0
hamiltonian,18,7,2.51,332812,0
hamiltonian,18,8,2.50,330800,0
hamiltonian,18,9,2.53,333848,0
hamiltonian,20,0,3.82,484688,0
hamiltonian,20,1,3.84,482216,0
hamiltonian,20,2,3.79,486056,0
hamiltonian,20,3,3.83,482868,0
hamiltonian,20,4,3.86,490956,0
hamiltonian,20,5,3.90,488244,0
hamiltonian,20,6,3.82,485476,0
hamiltonian,20,7,3.93,485960,0
hamiltonian,20,8,3.83,485032,0
hamiltonian,20,9,3.83,486504,0
hamiltonian,2,0,0.05,35880,0
hamiltonian,2,1,0.05,35880,0
hamiltonian,2,2,0.05,35880,0
hamiltonian,2,3,0.04,35928,0
hamiltonian,2,4,0.05,35856,0
hamiltonian,2,5,0.04,35856,0
hamiltonian,2,6,0.04,35880,0
hamiltonian,2,7,0.05,35924,0
hamiltonian,2,8,0.05,35892,0
hamiltonian,2,9,0.04,35880,0
hamiltonian,4,0,0.06,38088,0
hamiltonian,4,1,0.07,39208,0
hamiltonian,4,2,0.06,37864,0
hamiltonian,4,3,0.06,37968,0
hamiltonian,4,4,0.06,38308,0
hamiltonian,4,5,0.06,38092,0
hamiltonian,4,6,0.06,37956,0
hamiltonian,4,7,0.06,37960,0
hamiltonian,4,8,0.06,37956,0
hamiltonian,4,9,0.06,38092,0
hamiltonian,6,0,0.09,42024,0
hamiltonian,6,1,0.09,41932,0
hamiltonian,6,2,0.09,42064,0
hamiltonian,6,3,0.09,41900,0
hamiltonian,6,4,0.10,41776,0
hamiltonian,6,5,0.09,41960,0
hamiltonian,6,6,0.10,42996,0
hamiltonian,6,7,0.10,42200,0
hamiltonian,6,8,0.10,42676,0
hamiltonian,6,9,0.10,42256,0
hamiltonian,8,0,0.17,50848,0
hamiltonian,8,1,0.17,50648,0
hamiltonian,8,2,0.17,50460,0
hamiltonian,8,3,0.17,50640,0
hamiltonian,8,4,0.17,50772,0
hamiltonian,8,5,0.17,51212,0
hamiltonian,8,6,0.17,51240,0
hamiltonian,8,7,0.17,51624,0
hamiltonian,8,8,0.17,51540,0
hamiltonian,8,9,0.16,50320,0
large_jordan,10,0,0.26,61948,0
large_jordan,10,1,0.26,61988,0
large_jordan,10,2,0.26,62052,0
large_jordan,10,3,0.26,62056,0
large_jordan,10,4,0.26,61940,0
large_jordan,10,5,0.26,61996,0
large_jordan,10,6,0.26,62108,0
large_jordan,10,7,0.26,62004,0
large_jordan,10,8,0.26,61968,0
large_jordan,10,9,0.26,62120,0
large_jordan,12,0,0.48,89156,0
large_jordan,12,1,0.49,89136,0
large_jordan,12,2,0.48,89100,0
large_jordan,12,3,0.49,89176,0
large_jordan,12,4,0.48,89100,0
large_jordan,12,5,0.49,89100,0
large_jordan,12,6,0.47,89100,0
large_jordan,12,7,0.49,89100,0
large_jordan,12,8,0.48,89128,0
large_jordan,12,9,0.49,89192,0
large_jordan,14,0,0.85,134356,0
large_jordan,14,1,0.85,134356,0
large_jordan,14,2,0.85,134224,0
large_jordan,14,3,0.86,134308,0
large_jordan,14,4,0.85,134312,0
large_jordan,14,5,0.85,134356,0
large_jordan,14,6,0.86,134256,0
large_jordan,14,7,0.85,134284,0
large_jordan,14,8,0.85,134300,0
large_jordan,14,9,0.85,134224,0
large_jordan,16,0,1.44,204236,0
large_jordan,16,1,1.42,204060,0
large_jordan,16,2,1.44,204060,0
large_jordan,16,3,1.42,204044,0
large_jordan,16,4,1.43,204084,0
large_jordan,16,5,1.43,204112,0
large_jordan,16,6,1.42,204120,0
large_jordan,16,7,1.42,204120,0
large_jordan,16,8,1.43,204044,0
large_jordan,16,9,1.43,204012,0
large_jordan,18,0,2.29,305684,0
large_jordan,18,1,2.29,305748,0
large_jordan,18,2,2.29,305720,0
large_jordan,18,3,2.29,305740,0
large_jordan,18,4,2.32,305728,0
large_jordan,18,5,2.28,305576,0
large_jordan,18,6,2.42,305872,0
large_jordan,18,7,2.28,305672,0
large_jordan,18,8,2.29,305744,0
large_jordan,18,9,2.27,305712,0
large_jordan,20,0,3.47,449488,0
large_jordan,20,1,3.47,449416,0
large_jordan,20,2,3.60,449420,0
large_jordan,20,3,3.50,449484,0
large_jordan,20,4,3.47,449416,0
large_jordan,20,5,3.48,449316,0
large_jordan,20,6,3.55,449320,0
large_jordan,20,7,3.50,449320,0
large_jordan,20,8,3.48,449360,0
large_jordan,20,9,3.46,449440,0
large_jordan,2,0,0.04,35748,0
large_jordan,2,1,0.04,35664,0
large_jordan,2,2,0.04,35800,0
large_jordan,2,3,0.04,35760,0
large_jordan,2,4,0.04,35796,0
large_jordan,2,5,0.04,35804,0
large_jordan,2,6,0.04,35888,0
large_jordan,2,7,0.04,35756,0
large_jordan,2,8,0.05,35664,0
large_jordan,2,9,0.05,35852,0
large_jordan,4,0,0.06,37020,0
large_jordan,4,1,0.05,37012,0
large_jordan,4,2,0.06,37068,0
large_jordan,4,3,0.05,36972,0
large_jordan,4,4,0.06,37004,0
large_jordan,4,5,0.05,37080,0
large_jordan,4,6,0.05,37016,0
large_jordan,4,7,0.05,37036,0
large_jordan,4,8,0.06,37012,0
large_jordan,4,9,0.06,37060,0
large_jordan,6,0,0.08,39972,0
large_jordan,6,1,0.08,39952,0
large_jordan,6,2,0.08,39876,0
large_jordan,6,3,0.08,39956,0
large_jordan,6,4,0.08,39984,0
large_jordan,6,5,0.08,39996,0
large_jordan,6,6,0.08,40016,0
large_jordan,6,7,0.08,40016,0
large_jordan,6,8,0.08,39984,0
large_jordan,6,9,0.08,39924,0
large_jordan,8,0,0.14,47236,0
large_jordan,8,1,0.13,47176,0
large_jordan,8,2,0.14,47180,0
large_jordan,8,3,0.14,47176,0
large_jordan,8,4,0.14,47132,0
