category,size,sample,compile_time_sec,max_rss_kb,exit_code
hamiltonian,6,2,0.10,50660,0
hamiltonian,6,3,0.10,50600,0
hamiltonian,6,4,0.10,50540,0
hamiltonian,6,5,0.10,50552,0
hamiltonian,6,6,0.11,52588,0
hamiltonian,6,7,0.10,50616,0
hamiltonian,6,8,0.11,50760,0
hamiltonian,6,9,0.10,50732,0
hamiltonian,8,0,0.22,65444,0
hamiltonian,8,1,0.22,65260,0
hamiltonian,8,2,0.21,65332,0
hamiltonian,8,3,0.21,65376,0
hamiltonian,8,4,0.21,65536,0
hamiltonian,8,5,0.22,65444,0
hamiltonian,8,6,0.22,67424,0
hamiltonian,8,7,0.22,67556,0
hamiltonian,8,8,0.23,67328,0
hamiltonian,8,9,0.21,65280,0
large_jordan,10,0,0.38,88264,0
large_jordan,10,1,0.38,88208,0
large_jordan,10,2,0.38,88276,0
large_jordan,10,3,0.39,88236,0
large_jordan,10,4,0.38,88272,0
large_jordan,10,5,0.38,88192,0
large_jordan,10,6,0.38,88272,0
large_jordan,10,7,0.38,88184,0
large_jordan,10,8,0.38,88252,0
large_jordan,10,9,0.39,88196,0
large_jordan,12,0,0.80,136712,0
large_jordan,12,1,0.80,136712,0
large_jordan,12,2,0.77,136668,0
large_jordan,12,3,0.79,136716,0
large_jordan,12,4,0.77,136696,0
large_jordan,12,5,0.78,136740,0
large_jordan,12,6,0.79,136684,0
large_jordan,12,7,0.79,136712,0
large_jordan,12,8,0.80,136744,0
large_jordan,12,9,0.76,136716,0
large_jordan,14,0,1.39,220972,0
large_jordan,14,1,1.47,220972,0
large_jordan,14,2,1.44,220956,0
large_jordan,14,3,1.41,220976,0
large_jordan,14,4,1.42,220984,0
large_jordan,14,5,1.43,220980,0
large_jordan,14,6,1.41,220984,0
large_jordan,14,7,1.40,220988,0
large_jordan,14,8,1.39,220960,0
large_jordan,14,9,1.42,220776,0
large_jordan,16,0,0,0,1
large_jordan,16,1,0,0,1
large_jordan,16,2,0,0,1
large_jordan,16,3,0,0,1
large_jordan,16,4,0,0,1
large_jordan,16,5,0,0,1
large_jordan,16,6,0,0,1
large_jordan,16,7,0,0,1
large_jordan,16,8,0,0,1
large_jordan,16,9,0,0,1
large_jordan,2,0,0.03,39788,0
large_jordan,2,1,0.03,39740,0
large_jordan,2,2,0.03,39784,0
large_jordan,2,3,0.03,39700,0
large_jordan,2,4,0.03,39772,0
large_jordan,2,5,0.03,39768,0
large_jordan,2,6,0.03,39780,0
large_jordan,2,7,0.03,39756,0
large_jordan,2,8,0.03,39768,0
large_jordan,2,9,0.03,39780,0
large_jordan,4,0,0.04,42028,0
large_jordan,4,1,0.04,41932,0
large_jordan,4,2,0.04,41848,0
large_jordan,4,3,0.04,41960,0
large_jordan,4,4,0.04,41912,0
large_jordan,4,5,0.04,42020,0
large_jordan,4,6,0.04,42012,0
large_jordan,4,7,0.04,41840,0
large_jordan,4,8,0.04,41900,0
large_jordan,4,9,0.04,41888,0
large_jordan,6,0,0.08,48272,0
large_jordan,6,1,0.08,48116,0
large_jordan,6,2,0.07,48204,0
large_jordan,6,3,0.08,48228,0
large_jordan,6,4,0.08,48288,0
large_jordan,6,5,0.08,48280,0
large_jordan,6,6,0.08,48280,0
large_jordan,6,7,0.08,48288,0
large_jordan,6,8,0.08,48268,0
large_jordan,6,9,0.08,48244,0
large_jordan,8,0,0.17,60940,0
large_jordan,8,1,0.18,60888,0
large_jordan,8,2,0.17,60816,0
large_jordan,8,3,0.18,60908,0
large_jordan,8,4,0.17,60872,0
large_jordan,8,5,0.18,60904,0
large_jordan,8,6,0.18,60876,0
large_jordan,8,7,0.17,60848,0
large_jordan,8,8,0.17,60924,0
large_jordan,8,9,0.17,60868,0
nearly_defective,10,0,0.51,103216,0
nearly_defective,10,1,0.51,103240,0
nearly_defective,10,2,0.51,105308,0
nearly_defective,10,3,0.52,103344,0
nearly_defective,10,4,0.60,111572,0
nearly_defective,10,5,0.63,115880,0
nearly_defective,10,6,0.48,99000,0
nearly_defective,10,7,0.62,113764,0
nearly_defective,10,8,0.56,107468,0
nearly_defective,10,9,0.55,107520,0
nearly_defective,12,0,0.98,164316,0
nearly_defective,12,1,0.99,164264,0
nearly_defective,12,2,1.00,162168,0
nearly_defective,12,3,1.10,176872,0
nearly_defective,12,4,0.99,166368,0
nearly_defective,12,5,1.01,166232,0
nearly_defective,12,6,1.01,164296,0
nearly_defective,12,7,0.95,160056,0
nearly_defective,12,8,1.08,172592,0
nearly_defective,12,9,0.96,162212,0
nearly_defective,14,0,1.63,248392,0
nearly_defective,14,1,1.63,248404,0
nearly_defective,14,2,1.82,269540,0
nearly_defective,14,3,1.66,252644,0
nearly_defective,14,4,1.74,258924,0
nearly_defective,14,5,1.69,254704,0
nearly_defective,14,6,1.59,246348,0
nearly_defective,14,7,1.58,246232,0
nearly_defective,14,8,1.79,267180,0
nearly_defective,14,9,1.85,271432,0
nearly_defective,16,0,0,0,1
nearly_defective,16,1,0,0,1
nearly_defective,16,2,0,0,1
nearly_defective,16,3,0,0,1
nearly_defective,16,4,0,0,1
nearly_defective,16,5,0,0,1
nearly_defective,16,6,0,0,1
nearly_defective,16,7,0,0,1
nearly_defective,16,8,0,0,1
nearly_defective,16,9,0,0,1
nearly_defective,2,0,0.03,39884,0
nearly_defective,2,1,0.03,39944,0
nearly_defective,2,2,0.03,39904,0
nearly_defective,2,3,0.03,39824,0
nearly_defective,2,4,0.03,39916,0
nearly_defective,2,5,0.03,39952,0
nearly_defective,2,6,0.03,39896,0
nearly_defective,2,7,0.03,39912,0
nearly_defective,2,8,0.03,39912,0
nearly_defective,2,9,0.03,39984,0
nearly_defective,4,0,0.07,46448,0
nearly_defective,4,1,0.08,46440,0
nearly_defective,4,2,0.09,48504,0
nearly_defective,4,3,0.07,46396,0
nearly_defective,4,4,0.07,46416,0
nearly_defective,4,5,0.07,46324,0
nearly_defective,4,6,0.07,46356,0
nearly_defective,4,7,0.07,46416,0
nearly_defective,4,8,0.07,46388,0
nearly_defective,4,9,0.08,46392,0
nearly_defective,6,0,0.13,52736,0
nearly_defective,6,1,0.13,52696,0
nearly_defective,6,2,0.16,57028,0
nearly_defective,6,3,0.13,54844,0
nearly_defective,6,4,0.12,52772,0
nearly_defective,6,5,0.12,52652,0
nearly_defective,6,6,0.13,52680,0
nearly_defective,6,7,0.14,54876,0
nearly_defective,6,8,0.14,54724,0
nearly_defective,6,9,0.17,59088,0
nearly_defective,8,0,0.24,69568,0
nearly_defective,8,1,0.27,71548,0
nearly_defective,8,2,0.29,73820,0
nearly_defective,8,3,0.23,67468,0
nearly_defective,8,4,0.30,75764,0
nearly_defective,8,5,0.27,71648,0
nearly_defective,8,6,0.30,75932,0
nearly_defective,8,7,0.27,71648,0
nearly_defective,8,8,0.32,77892,0
nearly_defective,8,9,0.27,71600,0
nearly_reducible,10,0,0.46,97024,0
nearly_reducible,10,1,0.47,96944,0
nearly_reducible,10,2,0.47,96880,0
nearly_reducible,10,3,0.47,96900,0
nearly_reducible,10,4,0.46,96948,0
nearly_reducible,10,5,0.45,96808,0
nearly_reducible,10,6,0.48,97004,0
nearly_reducible,10,7,0.46,97024,0
nearly_reducible,10,8,0.45,96904,0
nearly_reducible,10,9,0.46,96852,0
nearly_reducible,12,0,0.92,155848,0
nearly_reducible,12,1,0.90,153844,0
nearly_reducible,12,2,0.91,155940,0
nearly_reducible,12,3,0.89,153696,0
nearly_reducible,12,4,0.94,153824,0
nearly_reducible,12,5,0.89,151656,0
nearly_reducible,12,6,0.91,153724,0
nearly_reducible,12,7,0.91,153784,0
nearly_reducible,12,8,0.87,151620,0
nearly_reducible,12,9,0.93,155948,0
nearly_reducible,14,0,1.64,248388,0
nearly_reducible,14,1,1.59,241996,0
nearly_reducible,14,2,1.58,246244,0
nearly_reducible,14,3,1.60,242064,0
nearly_reducible,14,4,1.56,242136,0
nearly_reducible,14,5,1.56,242156,0
nearly_reducible,14,6,1.58,244256,0
nearly_reducible,14,7,1.61,246348,0
nearly_reducible,14,8,1.61,244280,0
nearly_reducible,14,9,1.58,244276,0
nearly_reducible,16,0,0,0,1
nearly_reducible,16,1,0,0,1
nearly_reducible,16,2,0,0,1
nearly_reducible,16,3,0,0,1
nearly_reducible,16,4,0,0,1
nearly_reducible,16,5,0,0,1
nearly_reducible,16,6,0,0,1
nearly_reducible,16,7,0,0,1
nearly_reducible,16,8,0,0,1
nearly_reducible,16,9,0,0,1
nearly_reducible,2,0,0.03,39768,0
nearly_reducible,2,1,0.03,39796,0
nearly_reducible,2,2,0.03,39820,0
nearly_reducible,2,3,0.03,39648,0
nearly_reducible,2,4,0.03,39820,0
nearly_reducible,2,5,0.03,39688,0
nearly_reducible,2,6,0.03,39776,0
nearly_reducible,2,7,0.03,39768,0
nearly_reducible,2,8,0.03,39688,0
nearly_reducible,2,9,0.03,39776,0
nearly_reducible,4,0,0.05,44312,0
nearly_reducible,4,1,0.05,44244,0
nearly_reducible,4,2,0.05,44360,0
nearly_reducible,4,3,0.05,44296,0
nearly_reducible,4,4,0.05,44252,0
nearly_reducible,4,5,0.05,42156,0
nearly_reducible,4,6,0.04,44352,0
nearly_reducible,4,7,0.04,44192,0
nearly_reducible,4,8,0.05,44336,0
nearly_reducible,4,9,0.05,44292,0
nearly_reducible,6,0,0.10,50452,0
nearly_reducible,6,1,0.11,50756,0
nearly_reducible,6,2,0.10,50536,0
nearly_reducible,6,3,0.10,50600,0
nearly_reducible,6,4,0.11,50832,0
nearly_reducible,6,5,0.10,50812,0
nearly_reducible,6,6,0.10,50660,0
nearly_reducible,6,7,0.10,50612,0
nearly_reducible,6,8,0.10,50728,0
nearly_reducible,6,9,0.10,50628,0
nearly_reducible,8,0,0.22,65308,0
nearly_reducible,8,1,0.22,65500,0
nearly_reducible,8,2,0.22,65424,0
nearly_reducible,8,3,0.21,65332,0
nearly_reducible,8,4,0.22,65392,0
nearly_reducible,8,5,0.22,65408,0
nearly_reducible,8,6,0.21,65368,0
nearly_reducible,8,7,0.22,65284,0
nearly_reducible,8,8,0.23,67580,0
nearly_reducible,8,9,0.23,65304,0
non_normal,10,0,0.46,94792,0
non_normal,10,1,0.45,96788,0
non_normal,10,2,0.44,96980,0
non_normal,10,3,0.45,94868,0
non_normal,10,4,0.46,96856,0
non_normal,10,5,0.45,96712,0
non_normal,10,6,0.45,96976,0
non_normal,10,7,0.45,94872,0
non_normal,10,8,0.46,94828,0
non_normal,10,9,0.44,94864,0
non_normal,12,0,0.88,149488,0
non_normal,12,1,0.91,151504,0
non_normal,12,2,0.87,151604,0
non_normal,12,3,0.92,153680,0
non_normal,12,4,0.88,151568,0
non_normal,12,5,0.91,151520,0
non_normal,12,6,0.89,151728,0
non_normal,12,7,0.90,151644,0
non_normal,12,8,0.89,149428,0
non_normal,12,9,0.88,149540,0
non_normal,14,0,1.54,239968,0
non_normal,14,1,1.57,239944,0
non_normal,14,2,1.55,242104,0
non_normal,14,3,1.59,242096,0
non_normal,14,4,1.55,239928,0
non_normal,14,5,1.57,239964,0
non_normal,14,6,1.58,239964,0
non_normal,14,7,1.59,239732,0
non_normal,14,8,1.53,239796,0
non_normal,14,9,1.55,240012,0
non_normal,16,0,0,0,1
non_normal,16,1,0,0,1
non_normal,16,2,0,0,1
non_normal,16,3,0,0,1
non_normal,16,4,0,0,1
non_normal,16,5,0,0,1
non_normal,16,6,0,0,1
non_normal,16,7,0,0,1
non_normal,16,8,0,0,1
non_normal,16,9,0,0,1
non_normal,2,0,0.03,39792,0
non_normal,2,1,0.03,39784,0
non_normal,2,2,0.03,39720,0
non_normal,2,3,0.03,39712,0
non_normal,2,4,0.03,39696,0
non_normal,2,5,0.03,39608,0
non_normal,2,6,0.03,39788,0
non_normal,2,7,0.03,39712,0
non_normal,2,8,0.03,39784,0
non_normal,2,9,0.03,39784,0
non_normal,4,0,0.05,44228,0
non_normal,4,1,0.05,44116,0
non_normal,4,2,0.05,44224,0
non_normal,4,3,0.05,44196,0
non_normal,4,4,0.05,44088,0
non_normal,4,5,0.05,44184,0
non_normal,4,6,0.05,44192,0
non_normal,4,7,0.05,44180,0
non_normal,4,8,0.05,44300,0
non_normal,4,9,0.05,44284,0
non_normal,6,0,0.10,50536,0
non_normal,6,1,0.10,50628,0
non_normal,6,2,0.10,50732,0
non_normal,6,3,0.10,50652,0
non_normal,6,4,0.10,50592,0
non_normal,6,5,0.10,50660,0
non_normal,6,6,0.10,50536,0
non_normal,6,7,0.09,50700,0
non_normal,6,8,0.10,50708,0
non_normal,6,9,0.10,50456,0
non_normal,8,0,0.21,65372,0
non_normal,8,1,0.21,65356,0
non_normal,8,2,0.22,65320,0
non_normal,8,3,0.23,65392,0
non_normal,8,4,0.21,65308,0
non_normal,8,5,0.22,65408,0
non_normal,8,6,0.21,65344,0
non_normal,8,7,0.22,65268,0
non_normal,8,8,0.22,65184,0
non_normal,8,9,0.22,65472,0
random_non_normal,10,0,0.52,94716,0
random_non_normal,10,1,0.44,94792,0
random_non_normal,10,2,0.44,96944,0
random_non_normal,10,3,0.45,96968,0
random_non_normal,10,4,0.45,94748,0
random_non_normal,10,5,0.45,96668,0
random_non_normal,10,6,0.46,96828,0
random_non_normal,10,7,0.46,96912,0
random_non_normal,10,8,0.45,96688,0
random_non_normal,10,9,0.47,96964,0
random_non_normal,12,0,0.92,151640,0
random_non_normal,12,1,0.91,153692,0
random_non_normal,12,2,0.88,151592,0
random_non_normal,12,3,0.89,153812,0
random_non_normal,12,4,0.87,149428,0
random_non_normal,12,5,0.87,151516,0
random_non_normal,12,6,0.89,151528,0
random_non_normal,12,7,0.92,151560,0
random_non_normal,12,8,0.91,151500,0
random_non_normal,12,9,0.91,153776,0
random_non_normal,14,0,1.64,244188,0
random_non_normal,14,1,1.61,244152,0
random_non_normal,14,2,1.62,246276,0
random_non_normal,14,3,1.58,244184,0
random_non_normal,14,4,1.57,244128,0
random_non_normal,14,5,1.62,246272,0
random_non_normal,14,6,1.58,244192,0
random_non_normal,14,7,1.64,244208,0
random_non_normal,14,8,1.56,239984,0
random_non_normal,14,9,1.63,244152,0
random_non_normal,16,0,0,0,1
random_non_normal,16,1,0,0,1
random_non_normal,16,2,0,0,1
random_non_normal,16,3,0,0,1
random_non_normal,16,4,0,0,1
random_non_normal,16,5,0,0,1
random_non_normal,16,6,0,0,1
random_non_normal,16,7,0,0,1
random_non_normal,16,8,0,0,1
random_non_normal,16,9,0,0,1
random_non_normal,2,0,0.03,39716,0
random_non_normal,2,1,0.03,39764,0
random_non_normal,2,2,0.03,39780,0
random_non_normal,2,3,0.03,39776,0
random_non_normal,2,4,0.03,39780,0
random_non_normal,2,5,0.03,39704,0
random_non_normal,2,6,0.03,39664,0
random_non_normal,2,7,0.03,39800,0
random_non_normal,2,8,0.03,39816,0
random_non_normal,2,9,0.03,39800,0
random_non_normal,4,0,0.05,44316,0
random_non_normal,4,1,0.05,44412,0
random_non_normal,4,2,0.05,44304,0
random_non_normal,4,3,0.05,44264,0
random_non_normal,4,4,0.05,44012,0
random_non_normal,4,5,0.05,44332,0
random_non_normal,4,6,0.05,44304,0
random_non_normal,4,7,0.05,44436,0
random_non_normal,4,8,0.05,44264,0
random_non_normal,4,9,0.05,44332,0
